Measurement Title,Measurement Description,Measurement Type,Measurement Medium,Measurement Time,Measurement Value,Units,Units Abbreviation,Measurement Period Type,Data Stream ID,Resource ID,Measurement ID,Record ID,Latitude,Longitude,Location
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:03:30 PM,990,millivolts,mV,Instantaneous,33303,65513,2518776249899999999,333032518776249899999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:03:30 PM,496,millivolts,mV,Instantaneous,33305,65515,2518776249899999999,333052518776249899999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:02:27 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776250529999999,333032518776250529999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:02:27 PM,458,millivolts,mV,Instantaneous,33305,65515,2518776250529999999,333052518776250529999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:01:24 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776251159999999,333032518776251159999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:01:24 PM,394,millivolts,mV,Instantaneous,33305,65515,2518776251159999999,333052518776251159999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:00:22 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776251779999999,333032518776251779999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:00:22 PM,477,millivolts,mV,Instantaneous,33305,65515,2518776251779999999,333052518776251779999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 11:59:19 AM,988,millivolts,mV,Instantaneous,33303,65513,2518776252409999999,333032518776252409999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 11:59:19 AM,484,millivolts,mV,Instantaneous,33305,65515,2518776252409999999,333052518776252409999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
